id,house_id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,waterfront,condition,grade,yr_built,yr_renovated,zipcode,sqft_living15
1,7129300520,2014-10-13,221900.0,3.0,1.0,1180.0,5650.0,,3,7,1955,0.0,98178,1340.0
2,6414100192,2014-12-09,538000.0,3.0,2.25,2570.0,7242.0,0.0,3,7,1951,19910.0,98125,1690.0
3,5631500400,2015-02-25,180000.0,2.0,1.0,770.0,10000.0,0.0,3,6,1933,,98028,2720.0
4,2487200875,2014-12-09,604000.0,4.0,3.0,1960.0,5000.0,0.0,5,7,1965,0.0,98136,1360.0
5,1954400510,2015-02-18,510000.0,3.0,2.0,1680.0,8080.0,0.0,3,8,1987,0.0,98074,1800.0
6,7237550310,2014-05-12,1230000.0,4.0,4.5,5420.0,101930.0,0.0,3,11,2001,0.0,98053,4760.0
7,1321400060,2014-06-27,257500.0,3.0,2.25,1715.0,6819.0,0.0,3,7,1995,0.0,98003,2238.0
8,2008000270,2015-01-15,291850.0,3.0,1.5,1060.0,9711.0,0.0,3,7,1963,0.0,98198,1650.0
9,2414600126,2015-04-15,229500.0,3.0,1.0,1780.0,7470.0,0.0,3,7,1960,0.0,98146,1780.0
10,3793500160,2015-03-12,323000.0,3.0,2.5,1890.0,6560.0,0.0,3,7,2003,0.0,98038,2390.0
11,1736800520,2015-04-03,662500.0,3.0,2.5,3560.0,9796.0,,3,8,1965,0.0,98007,2210.0
12,9212900260,2014-05-27,468000.0,2.0,1.0,1160.0,6000.0,0.0,4,7,1942,0.0,98115,1330.0
13,114101516,2014-05-28,310000.0,3.0,1.0,1430.0,19901.0,0.0,4,7,1927,,98028,1780.0
14,6054650070,2014-10-07,400000.0,3.0,1.75,1370.0,9680.0,0.0,4,7,1977,0.0,98074,1370.0
15,1175000570,2015-03-12,530000.0,5.0,2.0,1810.0,4850.0,0.0,3,7,1900,0.0,98107,1360.0
16,9297300055,2015-01-24,650000.0,4.0,3.0,2950.0,5000.0,0.0,3,9,1979,0.0,98126,2140.0
17,1875500060,2014-07-31,395000.0,3.0,2.0,1890.0,14040.0,0.0,3,7,1994,0.0,98019,1890.0
18,6865200140,2014-05-29,485000.0,4.0,1.0,1600.0,4300.0,0.0,4,7,1916,0.0,98103,1610.0
19,16000397,2014-12-05,189000.0,2.0,1.0,1200.0,9850.0,0.0,4,7,1921,0.0,98002,1060.0
20,7983200060,2015-04-24,230000.0,3.0,1.0,1250.0,9774.0,0.0,4,7,1969,0.0,98003,1280.0
21,6300500875,2014-05-14,385000.0,4.0,1.75,1620.0,4980.0,0.0,4,7,1947,0.0,98133,1400.0
22,2524049179,2014-08-26,2000000.0,3.0,2.75,3050.0,44867.0,0.0,3,9,1968,0.0,98040,4110.0
23,7137970340,2014-07-03,285000.0,5.0,2.5,2270.0,6300.0,0.0,3,8,1995,0.0,98092,2240.0
24,8091400200,2014-05-16,252700.0,2.0,1.5,1070.0,9643.0,,3,7,1985,,98030,1220.0
25,3814700200,2014-11-20,329000.0,3.0,2.25,2450.0,6500.0,0.0,4,8,1985,0.0,98030,2200.0
26,1202000200,2014-11-03,233000.0,3.0,2.0,1710.0,4697.0,0.0,5,6,1941,0.0,98002,1030.0
27,1794500383,2014-06-26,937000.0,3.0,1.75,2450.0,2691.0,0.0,3,8,1915,,98119,1760.0
